filename	format	sha256	preliminary_categories	preview
10PromptsdeElitedoGeminiparaSalvarsuaProdutividade.pdf	pdf	bf656d2cb473e60b4e15ed442027a43d48e0927ebc419dc082013d35cf7902ed	REFERENCE;SKILL_CANDIDATE	Copie e Cole: 10 Prompts de Elite do Gemini para Salvar sua Produtividade 1. O Prompt "Auditor de Gastos Ocultos" (O Gancho) "Analise esta lista de despesas dessa empresa abaixo. Identifique: ​ 1) Cobranças duplicadas ou assinaturas que parecem esquecidas; ​ 2) Onde estou gastando 80% do meu dinheiro; ​ 3) Sugira 3 cortes imediatos que não afetem a operação principal. Seja implacável como um consultor financeiro de elite." 2. O Analista de Contratos e Riscos "Atue como um especialista jurídico e operacional. Analise o texto deste contrato abaixo e aponte: 1) As 3 cláusulas mais perigosas para mim; 2) Prazos de rescisão e multas escondidas; 3) O que eu deveria tentar renegociar antes de assinar. Resuma em tópicos para uma leitura de 1 minuto." 3. O "Inbox Zero" (Triagem de E-mails) "Vou colar aqui os últimos 10 e-mails que recebi. Classifique-os em: 'Urgente (Exige resposta hoje)', 'Delegar', 'Informativo' e 'Lixo'. Para os urgentes, já redija uma resposta curta, profissional e direta para que eu apenas revise e envie." 4. O Organizador de Logística Doméstica "Minha semana está um caos. Tenho que levar as crianças na escola às [Horário], reunião com cliente �
10PromptsPoderososparaCriarAssistentesdeIAProfissionaisnoGeminiGems..pdf	pdf	10c84ca81a14b0afedef02dc6069a6cd55c01f26d41e6d0d1f5677a8eb1eb2dd	TOOL_SPECIFICATION;REFERENCE	10 Prompts Poderosos para Criar Assistentes de IA Profissionais no Gemini Gems. ___________________________________________________________ Por Luiz Koerich @luizkoerich Esses prompts foram desenvolvidos para serem usados diretamente no Gemini Gems, a área onde você pode criar seus próprios assistentes de IA personalizados. Em caso de dúvidas, assista ao vídeo explicativo disponibilizado junto a este material. https://youtu.be/yCjrac1jc14 Para utilizar, basta acessar o Gemini, entrar na opção de criação de um novo Gem (assistente), colar o prompt no campo de instruções e salvar. A partir desse momento, o Gemini passará a se comportar exatamente conforme o papel definido no prompt, entregando respostas mais inteligentes, específicas e alinhadas com o objetivo desejado — seja para criação de conteúdo, produtividade, estudos, negócios ou automação de tarefas. Cada prompt funciona como um “cérebro pronto”, permitindo que você transforme o Gemini em um verdadeiro especialista sob medida. Nosso Grupo https://chat.whatsapp.com/Ckcwy1mNOynDWQOu2ABBjX 🆓 TODOS os NOSSOS MATERIAIS GRÁTIS 👇 https://inteligenciacademia.com.br/material-gratis 1 Prompts 1 - O Ass
150PROMPTS.pdf	pdf	7ca796725fb3104562e7f9d435251a24614f4e5f0f3a6fbdd128354ab44641a9	REFERENCE;SKILL_CANDIDATE	150 PROMPTS Aprimorados para Gemini , ChatGPT, Perplexity e Outros Modelos de IA @luizkoerich Por Luiz Koerich A inteligência artificial não substitui o futuro. Ela o cria. Introdução Este material reúne 150 prompts existentes aprimorados, cuidadosamente revisados e estruturados para oferecer maior clareza, eficiência e aplicabilidade prática. O objetivo é fornecer modelos prontos que facilitem o uso de ferramentas de inteligência artificial generativa em diferentes contextos, como trabalho, criação de conteúdo e estudos. Este material é totalmente GRATUITO e foi desenvolvido cuidadosamente por Luiz Koerich, com foco em qualidade, utilidade prática e acessibilidade. Objetivo do Material Este Material gratuito foi criado para auxiliar profissionais, criadores de conteúdo, estudantes e entusiastas de inteligência artificial a utilizarem prompts de forma mais estratégica. Os prompts apresentados foram aprimorados para gerar respostas mais precisas, contextualizadas e alinhadas a objetivos específicos, otimizando tempo e resultados, sem qualquer custo ao leitor. Compatibilidade Os prompts podem ser utilizados em diversas plataformas de IA generativa, incluindo, mas n�
1783952239798prompts_notebooklm_invente_com_ia.docx	docx	9c6b215340dd582c25c781d2a4239b304811d97040f2f21669e7ee5466c12abd	TOOL_SPECIFICATION;REFERENCE	 MOTOR DE IA COM NOTEBOOKLM 7 Prompts Prontos Para Usar Este documento reúne os 7 prompts usados no vídeo para montar um sistema completo no NotebookLM : um curador de ferramentas, um ghostwriter que clona o seu estilo e um engenheiro técnico de prompts . Copie, adapte ao seu projeto e deixe o sistema trabalhar. MÓDULO 1 — O CURADOR DE FERRAMENTAS Configure o NotebookLM para raciocinar e recomendar — não apenas resumir as fontes. Fontes recomendadas: https://www.therundown.ai/ https://www.theneurondaily.com/ https://www.futurepedia.io/ https://www.futurepedia.io/ai-tools/productivity https://www.futurepedia.io/ai-tools/video https://www.futurepedia.io/ai-tools/text-generators https://www.futurepedia.io/ai-tools/business https://www.futurepedia.io/ai-tools/image https://www.futurepedia.io/ai-tools/automations https://www.futurepedia.io/ai-tools/art https://www.futurepedia.io/ai-tools/audio-generators https://www.futurepedia.io/ai-tools/misc-tools https://www.futurepedia.io/ai-tools/code https://www.producthunt.com/ https://arena.ai/leaderboard https://artificialanalysis.ai/ ▸ PROMPT 1 — Persona do Curador (cole em: Configurar Caderno → Personalizado) Você vai atuar c
1B-PROMPTsSMART.pdf	pdf	cf4ac611d53372315464dcfbba25a4687e9dbc013ea6c04c95ef2226e0c1f4a5	REFERENCE;SKILL_CANDIDATE	 
40PromptsExistentesAprimorados(ParaNotebookLM).pdf	pdf	a502fbb30eeaf26ad595ea2777500a53ebc74bb2173d2b9be6bd92043528885e	TOOL_SPECIFICATION;REFERENCE	40- Prompts Existentes Aprimorados (Para NotebookLM) Por Luiz Link do NotebookLM: https://notebooklm.google.com/ Como Usar Escolha um prompt da listagem abaixo e insira dentro das configurações de Infográficos no NotebookLM # Estilo Desejado Tema Infográfico do Prompt Estruturado (Português) 1 Diagrama de Fluxo (Clean) Processo Onboarding Clientes de de "Gere um infográfico no Estilo Minimalista/Clean que mapeie o 'Processo de Onboarding de Clientes B2C em 6 Etapas'. Use setas diretas e puras para conectar os círculos de cada etapa. Foco no espaço negativo e em ícones simplificados de cor verde e cinza." 2 Estilo de Dados de Matriz Comparação de Linguagens de Programação "Crie um infográfico para comparar 5 linguagens de programação (Python, Java, JS) baseado em 'Curva de Aprendizado' e 'Uso Industrial'. Use uma matriz visual com gradientes de cores (do vermelho ao verde) para indicar a pontuação, no estilo Corporativo/Institucional." 3 Estilo Geográfico (Mapa) Distribuição de Data Centers Globais "Desenvolva um infográfico com foco Geográfico, mostrando a 'Distribuição Global dos Maiores Data Centers de IA'. Use um mapa-múndi estilizado com pontos de calo
70PromptsdeEliteparaoEcossistemaGemini(13).pdf	pdf	26f4baea190f5108eb8cac6d81e19b1936197291258e7e81c9212966534f1cc3	REFERENCE;SKILL_CANDIDATE	Professor: Luiz https://hotm.io/inteligenciacademia Bem-vindo à Nova Era da Produtividade com Gemini Olá, aqui é o Luiz Koerich. Se você baixou este guia, você já deu o primeiro passo para sair do uso comum da Inteligência Artificial e entrar no nível profissional. O que você tem em mãos não é apenas uma lista de frases; é uma coleção de chaves de automação desenhadas para o ecossistema do Google. A maioria das pessoas usa o Gemini como um "chat de perguntas e respostas". Aqui, nós vamos além. Vamos usar o Gemini como um colaborador estratégico que lê seus e-mails, analisa suas planilhas, organiza seu Drive e entende seu fluxo de trabalho. 🎁 Leia até o final! Leia este material com atenção. Além de todo o conteúdo técnico, eu preparei um presente exclusivo na última página para quem decidir que não quer apenas usar a IA, mas quer dominá-la por completo. O Protocolo 360: 70 Prompts de Elite para o Ecossistema Gemini. 📖 Como usar este Guia (Para ter resultados reais) Para extrair o poder máximo desses 70 prompts, siga estes 3 passos: 1. Ative as Extensões: Antes de começar, verifique se as extensões do Google Workspace (Gmail, Drive, Docs) e Y
avaliacao_aula1.md	md	70502c60ad0121daba0e6d256b6970e938a51626925837c2c983f19235270290	REFERENCE;TEMPLATE	# Avaliação - Aula 1: Introdução à IA e Conversando com Modelos de Linguagem **Curso:** IA na Prática para Trabalho, Negócios e Produtividade **Módulo:** Aula 1 - Introdução à IA (2 horas) Esta avaliação tem como objetivo verificar a sua compreensão dos conceitos fundamentais de Inteligência Artificial conversacional e a sua capacidade de interagir eficazmente com as ferramentas de IA, aplicando-os em cenários práticos. ## Parte 1: Perguntas de Múltipla Escolha (5 minutos) Assinale a opção correta para cada questão. 1. Qual das seguintes opções MELHOR descreve a Inteligência Artificial Conversacional? a) Sistemas de IA que apenas geram imagens. b) Sistemas de IA que interagem com humanos através da linguagem natural. c) Sistemas de IA que controlam robôs físicos. d) Sistemas de IA que apenas analisam dados numéricos. 2. Qual das seguintes ferramentas de IA é conhecida por fornecer respostas com citações de fontes? a) ChatGPT b) Gemini c) Perplexity AI d) Claude 3. Ao formular um prompt para uma IA, qual dos seguintes elementos é MAIS importante para obter uma resposta relevante? a) Usar apenas uma palavra-chave. b) Ser o mais vago possível. c) Forne
avaliacao_aula2.md	md	15222e99b31f81c684475bd1aafc9489cbc582d52bd46c51f00dc8e4cc0f4fa7	REFERENCE;TEMPLATE	# Avaliação - Aula 2: Produção de Conteúdo com IA **Curso:** IA na Prática para Trabalho, Negócios e Produtividade **Divisão:** GAG Labs (GAG Visual) **Objetivo:** Avaliar a compreensão e a capacidade dos alunos em utilizar ferramentas de IA para criar documentos profissionais e conteúdo para redes sociais. ## Instruções Gerais: Para responder às questões e completar as tarefas, os alunos devem utilizar as ferramentas de IA (ChatGPT, Claude, Copilot, Gemini). É fundamental lembrar que a revisão humana é crucial, e o conteúdo gerado pela IA deve ser editado e adaptado pelo próprio aluno. As respostas devem ser apresentadas de forma clara e organizada. ## Parte 1: Perguntas de Múltipla Escolha (5 pontos) Selecione a opção correta para cada pergunta. 1. Qual das seguintes ferramentas de IA é mais conhecida por ser desenvolvida pela OpenAI? a) Claude b) Gemini c) ChatGPT d) Copilot 2. Ao criar um currículo com IA, qual é o fator mais importante a considerar para garantir a sua eficácia? a) Usar apenas prompts genéricos. b) Personalizar o conteúdo para a vaga e empresa específicas. c) Não revisar o texto gerado pela IA. d) Usar a IA para escrever todo o cur
avaliacao_aula3.md	md	a116d9d0d13975c7416f10aed2181832d997caf7d7bf11bae94bc3ce64361e66	REFERENCE;TEMPLATE	# Avaliação - Aula 3: Design com IA **Curso:** IA na Prática para Trabalho, Negócios e Produtividade **Divisão:** GAG Labs (GAG Visual) --- ## Introdução Esta avaliação tem como objetivo verificar a compreensão e a aplicação dos conceitos e ferramentas de IA para design gráfico abordados na Aula 3. Os exercícios propostos simulam situações reais e permitem demonstrar a sua capacidade de criar materiais visuais profissionais utilizando a Inteligência Artificial. ## Parte 1: Perguntas de Múltipla Escolha (Conhecimento Teórico) Assinale a opção correta para cada questão. 1. Qual das seguintes ferramentas de IA é mais conhecida pela sua capacidade de gerar imagens a partir de texto e editar imagens com IA? a) Canva AI b) Microsoft Designer c) Leonardo AI d) Adobe Firefly 2. Qual é o principal objetivo da criação de um *mockup* no contexto do design com IA? a) Gerar ideias para novos designs. b) Apresentar um design em um contexto realista. c) Remover o fundo de uma imagem. d) Criar um logótipo animado. 3. Ao criar um logótipo para um restaurante angolano, que tipo de elementos visuais seriam mais apropriados para incluir no *prompt* de uma ferramenta de IA? 
